id,fecha_generacion,juego,numeros,sorteo_objetivo,estado,aciertos,score_afinidad,hora_dia,algoritmo,nota_especial,fecha_lanzamiento,modalidad
1768629014,2026-01-17 02:31:25,LOTO4,"[1, 6, 7, 21]",11568,AUDITADO,2,20.0,2,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768628087,2026-01-17 02:31:25,LOTO,"[13, 19, 24, 29, 30, 34]",5375,AUDITADO,1,0.83,2,delta_dna_v1,NORMAL,18/01/2026 21:00,
1768629509,2026-01-17 02:53:26,LOTO,"[8, 21, 27, 29, 37, 39]",5375,AUDITADO,0,0.0,2,markov_chain_v1,NORMAL,18/01/2026 21:00,
1768630315,2026-01-17 02:53:26,LOTO4,"[4, 5, 11, 21]",11568,AUDITADO,1,0.0,2,oraculo_neural_v3,NORMAL,17/01/2026 14:00,
1768625717,2026-01-17 01:36:28,LOTO4,"[5, 9, 12, 13]",11568,AUDITADO,0,0.0,1,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768627026,2026-01-17 01:58:57,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,1,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768622820,2026-01-17 00:47:31,RACHA,"[3, 4, 7, 8, 12, 13, 15, 16, 17, 20]",10301,AUDITADO,4,5.0,0,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 15:00,
1768627016,2026-01-17 01:58:57,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,1,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
1768628885,2026-01-17 02:31:25,LOTO4,"[7, 8, 11, 18]",11568,AUDITADO,1,0.0,2,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768630606,2026-01-17 02:53:26,RACHA,"[3, 5, 6, 7, 9, 13, 14, 16, 17, 18]",10301,AUDITADO,4,5.0,2,forense_biometrico_v1,NORMAL,17/01/2026 15:00,
1768630206,2026-01-17 02:53:26,LOTO4,"[3, 7, 14, 15]",11568,AUDITADO,0,0.0,2,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768626986,2026-01-17 01:58:57,LOTO,"[1, 13, 15, 29, 33, 35]",5375,AUDITADO,0,0.0,1,oraculo_neural_v4,NORMAL,18/01/2026 21:00,
1768624790,2026-01-17 01:36:28,LOTO,"[13, 17, 26, 31, 32, 34]",5375,AUDITADO,2,1.67,1,delta_dna_v1,NORMAL,18/01/2026 21:00,
1768621752,2026-01-17 00:47:31,LOTO,"[2, 19, 24, 29, 39, 40]",5375,AUDITADO,1,0.83,0,gaussiano_inteligente_v1,NORMAL,18/01/2026 21:00,
1768628585,2026-01-17 02:31:25,LOTO3,"[1, 7, 8]",23998,AUDITADO,1,4.0,2,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768625697,2026-01-17 01:36:28,LOTO4,"[9, 12, 13, 23]",11568,AUDITADO,0,0.0,1,oraculo_neural_v3,NORMAL,17/01/2026 14:00,
1768627066,2026-01-17 01:58:57,LOTO4,"[9, 11, 19, 20]",11568,AUDITADO,1,0.0,1,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768627986,2026-01-17 02:31:25,LOTO,"[4, 7, 11, 12, 34, 41]",5375,AUDITADO,0,0.0,2,gaussiano_inteligente_v1,NORMAL,18/01/2026 21:00,
1768622710,2026-01-17 00:47:31,LOTO,"[7, 10, 27, 29, 35, 37]",5375,AUDITADO,0,0.0,0,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,18/01/2026 21:00,
1768618330,2026-01-16 23:40:30,LOTO3,"[1, 4, 5]",23998,AUDITADO,0,0.0,23,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768621853,2026-01-17 00:47:31,LOTO,"[17, 18, 22, 29, 37, 40]",5375,AUDITADO,1,0.83,0,delta_dna_v1,NORMAL,18/01/2026 21:00,
1768625937,2026-01-17 01:58:57,LOTO,"[10, 18, 19, 23, 29, 36]",5375,AUDITADO,0,0.0,1,forense_biometrico_v1,NORMAL,18/01/2026 21:00,
1768625288,2026-01-17 01:36:28,LOTO3,"[0, 1, 7]",23998,AUDITADO,1,1.0,1,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768622740,2026-01-17 00:47:31,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,0,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768627885,2026-01-17 02:31:25,LOTO,"[3, 8, 11, 28, 29, 34]",5375,AUDITADO,0,0.0,2,forense_biometrico_v1,NORMAL,18/01/2026 21:00,
1768628188,2026-01-17 02:31:25,LOTO,"[8, 21, 27, 29, 37, 39]",5375,AUDITADO,0,0.0,2,markov_chain_v1,NORMAL,18/01/2026 21:00,
1768625667,2026-01-17 01:36:28,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,1,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
1768629004,2026-01-17 02:31:25,LOTO4,"[1, 5, 9, 16]",11568,AUDITADO,2,20.0,2,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
1768628934,2026-01-17 02:31:25,LOTO,"[1, 13, 15, 29, 33, 35]",5375,AUDITADO,0,0.0,2,oraculo_neural_v4,NORMAL,18/01/2026 21:00,
1768629054,2026-01-17 02:31:25,RACHA,"[1, 2, 3, 8, 9, 14, 15, 17, 19, 20]",10301,AUDITADO,7,50.0,2,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 15:00,
1768625707,2026-01-17 01:36:28,LOTO4,"[1, 5, 9, 16]",11568,AUDITADO,2,20.0,1,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
